iter	Passed	Remaining
0	0	92
1	1	99
2	1	95
3	1	96
4	2	95
5	2	93
6	3	93
7	3	92
8	4	92
9	4	92
10	5	92
11	5	91
12	6	90
13	6	91
14	7	91
15	7	90
16	8	89
17	8	88
18	9	88
19	9	87
20	10	86
21	10	86
22	11	85
23	11	85
24	12	84
25	12	84
26	13	83
27	13	83
28	14	83
29	14	82
30	15	82
31	15	82
32	16	82
33	16	82
34	17	82
35	17	81
36	18	81
37	19	81
38	19	80
39	20	80
40	20	79
41	21	79
42	21	78
43	22	78
44	22	77
45	22	76
46	23	76
47	23	75
48	24	74
49	24	74
50	25	73
51	25	73
52	26	73
53	27	73
54	27	72
55	28	72
56	28	72
57	29	71
58	29	71
59	30	70
60	30	70
61	31	69
62	31	69
63	32	68
64	32	68
65	33	67
66	33	67
67	34	66
68	34	65
69	35	65
70	35	64
71	36	64
72	36	63
73	37	63
74	37	63
75	38	62
76	38	61
77	39	61
78	39	60
79	40	60
80	40	60
81	41	59
82	41	59
83	42	58
84	43	58
85	43	57
86	44	57
87	44	56
88	45	56
89	45	56
90	46	55
91	46	55
92	47	54
93	47	54
94	48	53
95	48	53
96	49	52
97	50	52
98	50	51
99	51	51
100	51	50
101	52	50
102	52	49
103	53	49
104	53	48
105	54	48
106	54	47
107	55	46
108	55	46
109	56	46
110	56	45
111	57	44
112	57	44
113	58	43
114	58	43
115	59	42
116	59	42
117	60	41
118	60	41
119	61	40
120	61	40
121	62	39
122	62	39
123	63	38
124	63	38
125	64	37
126	64	37
127	65	36
128	65	36
129	66	35
130	66	35
131	67	34
132	67	34
133	68	33
134	68	33
135	69	32
136	69	32
137	70	31
138	70	31
139	71	30
140	71	30
141	72	29
142	72	29
143	73	28
144	74	28
145	74	27
146	75	27
147	75	26
148	76	26
149	76	25
150	77	25
151	77	24
152	78	24
153	78	23
154	79	23
155	79	22
156	80	21
157	80	21
158	81	21
159	82	20
160	82	19
161	83	19
162	83	18
163	84	18
164	85	18
165	85	17
166	86	17
167	86	16
168	87	16
169	87	15
170	88	14
171	88	14
172	89	13
173	89	13
174	90	12
175	91	12
176	91	11
177	92	11
178	92	10
179	93	10
180	93	9
181	94	9
182	95	8
183	96	8
184	96	7
185	97	7
186	97	6
187	98	6
188	98	5
189	99	5
190	99	4
191	100	4
192	100	3
193	101	3
194	101	2
195	102	2
196	102	1
197	103	1
198	104	0
199	104	0
